asset_id,department,asset_type,station,km_location,line,point_throw_time_sec,motor_peak_current_amps,insulation_resistance_megohm,total_stroke_cycles,track_circuit_voltage,track_circuit_ballast_resistance,relay_age_years,ei_error_count_30d,battery_health_percentage,last_failure_days_ago,health_index,priority_tier,disconnection_required,days_since_last_maintenance,ground_truth_failure,ground_truth_rul_days
SIG-0001,SIGNAL_AND_TELECOM,AXLE_COUNTER,FZD,226.06,YARD,0.0,0.0,15.0,0,0.0,5.0,6,0,81.0,306,100.0,LOW,False,64,0,365
SIG-0002,SIGNAL_AND_TELECOM,POINT_MACHINE,KRJ,81.85,UP,5.7,3.71,6.6,42550,0.0,5.0,6,0,92.5,320,24.3,CRITICAL,True,56,1,9
SIG-0003,SIGNAL_AND_TELECOM,POINT_MACHINE,FZD,226.27,YARD,4.44,2.64,3.3,19528,0.0,5.0,11,0,80.4,356,53.54,HIGH,True,348,1,19
SIG-0004,SIGNAL_AND_TELECOM,TRACK_CIRCUIT,CNB,438.98,YARD,0.0,0.0,15.0,0,2.31,5.3,19,0,72.7,332,33.0,CRITICAL,True,40,1,12
SIG-0005,SIGNAL_AND_TELECOM,EI_SYSTEM,ALJN,129.61,DN,0.0,0.0,15.0,0,0.0,5.0,16,6,83.8,205,70.0,LOW,False,54,0,257
SIG-0006,SIGNAL_AND_TELECOM,TRACK_CIRCUIT,DER,36.28,UP,0.0,0.0,15.0,0,5.14,6.12,2,0,89.5,456,98.5,LOW,False,30,0,359
SIG-0007,SIGNAL_AND_TELECOM,POINT_MACHINE,TDL,208.61,DN,4.64,2.16,15.1,10868,0.0,5.0,15,0,87.1,563,81.93,LOW,False,327,0,299
SIG-0008,SIGNAL_AND_TELECOM,POINT_MACHINE,KRJ,82.95,YARD,5.4,2.26,12.2,19217,0.0,5.0,12,0,87.9,54,68.18,MEDIUM,False,355,0,250
SIG-0009,SIGNAL_AND_TELECOM,TRACK_CIRCUIT,DER,35.53,UP,0.0,0.0,15.0,0,3.12,7.6,20,0,88.8,566,64.95,LOW,True,301,0,238
SIG-0010,SIGNAL_AND_TELECOM,AXLE_COUNTER,CNB,439.1,UP,0.0,0.0,15.0,0,0.0,5.0,11,0,73.3,239,45.0,HIGH,True,189,1,16
SIG-0011,SIGNAL_AND_TELECOM,POINT_MACHINE,NDLS,1.5,UP,5.16,2.44,14.1,12759,0.0,5.0,20,0,83.7,156,67.54,MEDIUM,False,351,0,248
SIG-0012,SIGNAL_AND_TELECOM,POINT_MACHINE,NDLS,0.36,DN,5.02,2.82,3.3,29524,0.0,5.0,3,0,77.9,16,40.6,HIGH,True,335,1,14
SIG-0013,SIGNAL_AND_TELECOM,AXLE_COUNTER,ALJN,130.04,YARD,0.0,0.0,15.0,0,0.0,5.0,7,0,94.9,72,45.0,HIGH,True,325,1,16
SIG-0014,SIGNAL_AND_TELECOM,EI_SYSTEM,ETW,302.38,DN,0.0,0.0,15.0,0,0.0,5.0,17,10,91.8,624,35.0,HIGH,True,38,1,13
SIG-0015,SIGNAL_AND_TELECOM,AXLE_COUNTER,PHD,357.89,UP,0.0,0.0,15.0,0,0.0,5.0,16,0,78.7,422,84.0,LOW,False,150,0,307
SIG-0016,SIGNAL_AND_TELECOM,POINT_MACHINE,PHD,358.15,DN,5.78,3.38,1.2,44076,0.0,5.0,11,0,77.3,145,9.72,CRITICAL,True,42,1,4
SIG-0017,SIGNAL_AND_TELECOM,AXLE_COUNTER,DER,35.72,DN,0.0,0.0,15.0,0,0.0,5.0,12,0,96.4,96,84.0,LOW,False,207,0,307
SIG-0018,SIGNAL_AND_TELECOM,TRACK_CIRCUIT,CNB,440.0,DN,0.0,0.0,15.0,0,1.96,2.49,17,0,93.9,258,21.099999999999994,CRITICAL,True,278,1,8
SIG-0019,SIGNAL_AND_TELECOM,AXLE_COUNTER,ETW,299.72,DN,0.0,0.0,15.0,0,0.0,5.0,5,0,98.7,473,84.0,LOW,False,216,0,307
SIG-0020,SIGNAL_AND_TELECOM,TRACK_CIRCUIT,DER,36.2,YARD,0.0,0.0,15.0,0,6.09,1.85,17,0,73.3,343,25.400000000000006,CRITICAL,True,192,1,9
SIG-0021,SIGNAL_AND_TELECOM,TRACK_CIRCUIT,NDLS,0.0,DN,0.0,0.0,15.0,0,5.29,5.74,13,0,81.1,657,83.5,LOW,False,330,0,305
SIG-0022,SIGNAL_AND_TELECOM,EI_SYSTEM,ETW,300.16,UP,0.0,0.0,15.0,0,0.0,5.0,5,10,91.3,15,35.0,HIGH,True,359,1,13
SIG-0023,SIGNAL_AND_TELECOM,AXLE_COUNTER,ALJN,129.54,YARD,0.0,0.0,15.0,0,0.0,5.0,20,0,73.8,202,45.0,HIGH,True,113,1,16
SIG-0024,SIGNAL_AND_TELECOM,POINT_MACHINE,NDLS,0.0,UP,5.22,2.45,1.2,21193,0.0,5.0,18,0,84.5,663,40.01,HIGH,True,205,1,14
SIG-0025,SIGNAL_AND_TELECOM,POINT_MACHINE,FZD,224.88,YARD,5.97,3.03,4.7,36513,0.0,5.0,20,0,90.0,339,25.61,CRITICAL,True,87,1,9
SIG-0026,SIGNAL_AND_TELECOM,POINT_MACHINE,CNB,440.0,YARD,4.61,1.98,9.7,8677,0.0,5.0,10,0,70.5,220,85.71,LOW,False,323,0,313
SIG-0027,SIGNAL_AND_TELECOM,POINT_MACHINE,KRJ,81.55,UP,5.11,2.91,5.7,29114,0.0,5.0,18,0,73.4,171,44.33,HIGH,True,93,1,16
SIG-0028,SIGNAL_AND_TELECOM,EI_SYSTEM,ALJN,132.16,DN,0.0,0.0,15.0,0,0.0,5.0,19,9,78.0,162,35.0,HIGH,True,132,1,13
SIG-0029,SIGNAL_AND_TELECOM,EI_SYSTEM,ALJN,131.82,UP,0.0,0.0,15.0,0,0.0,5.0,6,14,83.9,301,35.0,HIGH,True,342,1,13
SIG-0030,SIGNAL_AND_TELECOM,POINT_MACHINE,ETW,300.92,DN,5.67,2.89,11.4,25767,0.0,5.0,19,0,95.5,518,49.3,HIGH,True,357,1,18
SIG-0031,SIGNAL_AND_TELECOM,POINT_MACHINE,ETW,300.87,YARD,5.84,2.44,11.5,32479,0.0,5.0,19,0,75.6,240,57.34,MEDIUM,True,147,0,211
SIG-0032,SIGNAL_AND_TELECOM,TRACK_CIRCUIT,DER,36.53,DN,0.0,0.0,15.0,0,6.49,4.68,14,0,82.5,43,94.0,LOW,False,120,0,343
SIG-0033,SIGNAL_AND_TELECOM,EI_SYSTEM,FZD,224.79,UP,0.0,0.0,15.0,0,0.0,5.0,10,6,70.6,663,70.0,LOW,False,280,0,257
SIG-0034,SIGNAL_AND_TELECOM,TRACK_CIRCUIT,TDL,209.48,YARD,0.0,0.0,15.0,0,4.49,1.14,15,0,84.4,15,46.1,HIGH,True,178,1,16
SIG-0035,SIGNAL_AND_TELECOM,TRACK_CIRCUIT,DER,37.46,YARD,0.0,0.0,15.0,0,2.08,5.63,1,0,97.3,183,46.05,HIGH,True,179,1,16
SIG-0036,SIGNAL_AND_TELECOM,POINT_MACHINE,NDLS,1.33,UP,5.37,2.83,11.6,17973,0.0,5.0,13,0,73.5,461,55.21,MEDIUM,True,163,0,203
SIG-0037,SIGNAL_AND_TELECOM,POINT_MACHINE,NDLS,1.17,YARD,6.25,1.81,14.3,4577,0.0,5.0,12,0,72.2,63,69.76,MEDIUM,False,18,0,256
SIG-0038,SIGNAL_AND_TELECOM,EI_SYSTEM,NDLS,0.16,YARD,0.0,0.0,15.0,0,0.0,5.0,11,3,94.2,518,100.0,LOW,False,290,0,365
SIG-0039,SIGNAL_AND_TELECOM,POINT_MACHINE,PHD,356.5,UP,4.85,1.75,17.6,1670,0.0,5.0,18,0,84.1,55,87.25,LOW,False,365,0,319
SIG-0040,SIGNAL_AND_TELECOM,TRACK_CIRCUIT,FZD,224.55,YARD,0.0,0.0,15.0,0,5.45,5.34,3,0,73.3,628,85.5,LOW,False,290,0,312
SIG-0041,SIGNAL_AND_TELECOM,TRACK_CIRCUIT,CNB,440.0,YARD,0.0,0.0,15.0,0,4.25,7.94,2,0,81.3,614,82.05,LOW,False,359,0,300
SIG-0042,SIGNAL_AND_TELECOM,TRACK_CIRCUIT,KRJ,84.45,YARD,0.0,0.0,15.0,0,2.78,2.64,4,0,88.8,146,90.05,LOW,False,199,0,329
SIG-0043,SIGNAL_AND_TELECOM,POINT_MACHINE,ALJN,130.34,YARD,6.3,2.81,7.6,36955,0.0,5.0,3,0,87.9,400,39.04,HIGH,True,180,1,14
SIG-0044,SIGNAL_AND_TELECOM,POINT_MACHINE,NDLS,0.0,DN,4.95,2.48,6.5,26905,0.0,5.0,15,0,81.6,24,59.25,MEDIUM,True,12,0,218
SIG-0045,SIGNAL_AND_TELECOM,POINT_MACHINE,KRJ,82.09,YARD,4.07,1.92,17.1,3564,0.0,5.0,14,0,79.7,347,96.13,LOW,False,168,0,351
SIG-0046,SIGNAL_AND_TELECOM,AXLE_COUNTER,FZD,225.48,YARD,0.0,0.0,15.0,0,0.0,5.0,18,0,77.5,385,45.0,HIGH,True,288,1,16
SIG-0047,SIGNAL_AND_TELECOM,POINT_MACHINE,NDLS,0.0,DN,5.79,2.66,13.9,16853,0.0,5.0,4,0,97.9,323,52.91,HIGH,True,311,1,19
SIG-0048,SIGNAL_AND_TELECOM,POINT_MACHINE,ALJN,131.2,YARD,4.07,2.08,13.1,13295,0.0,5.0,15,0,70.4,94,92.36,LOW,False,113,0,337
SIG-0049,SIGNAL_AND_TELECOM,POINT_MACHINE,ETW,300.43,YARD,4.85,2.03,14.8,1494,0.0,5.0,8,0,79.4,291,81.84,LOW,False,350,0,299
SIG-0050,SIGNAL_AND_TELECOM,POINT_MACHINE,NDLS,0.11,DN,4.07,2.52,11.9,16755,0.0,5.0,18,0,96.9,634,82.01,LOW,False,246,0,300
SIG-0051,SIGNAL_AND_TELECOM,AXLE_COUNTER,CNB,440.0,YARD,0.0,0.0,15.0,0,0.0,5.0,7,0,84.1,318,45.0,HIGH,True,277,1,16
SIG-0052,SIGNAL_AND_TELECOM,TRACK_CIRCUIT,TDL,207.93,DN,0.0,0.0,15.0,0,4.24,3.48,18,0,87.9,389,72.05,LOW,False,159,0,264
SIG-0053,SIGNAL_AND_TELECOM,POINT_MACHINE,GZB,26.44,UP,5.9,2.36,4.9,37078,0.0,5.0,12,0,85.1,420,43.02,HIGH,True,286,1,15
SIG-0054,SIGNAL_AND_TELECOM,TRACK_CIRCUIT,ETW,300.55,UP,0.0,0.0,15.0,0,6.13,1.05,6,0,77.5,671,54.5,HIGH,True,10,1,19
SIG-0055,SIGNAL_AND_TELECOM,POINT_MACHINE,ALJN,131.14,UP,4.33,2.27,16.9,1764,0.0,5.0,13,0,97.2,274,83.99,LOW,False,165,0,307
SIG-0056,SIGNAL_AND_TELECOM,POINT_MACHINE,DER,35.81,YARD,3.62,1.99,17.9,2970,0.0,5.0,9,0,97.6,324,95.53,LOW,False,240,0,348
SIG-0057,SIGNAL_AND_TELECOM,POINT_MACHINE,NDLS,0.95,DN,4.06,2.06,20.7,6629,0.0,5.0,14,0,78.3,549,92.98,LOW,False,226,0,339
