asset_id,department,section_from,section_to,km_start,km_end,mast_start,mast_end,line,contact_wire_diameter_mm,wire_wear_percentage,wire_status,catenary_wire_condition,atd_position_mm,atd_status,ambient_temperature_c,wire_height_at_support_mm,stagger_mm,insulator_condition,pantograph_spark_count_30d,mast_foundation_status,power_block_required,tower_wagon_required,days_since_last_maintenance,ground_truth_failure,ground_truth_rul_days
OHE-0001,TRACTION_DISTRIBUTION_OHE,NDLS,GZB,6.87,8.13,6/6,6/19,DN,9.38,71.7,CRITICAL,GOOD,546.6,NORMAL,33.0,5495,-9,CLEAN,35,STABLE,True,True,242,1,21
OHE-0002,TRACTION_DISTRIBUTION_OHE,PHD,CNB,429.69,431.14,429/3,429/17,DN,11.94,7.5,GOOD,GOOD,621.6,NORMAL,39.6,5525,54,CLEAN,3,STABLE,True,False,64,0,355
OHE-0003,TRACTION_DISTRIBUTION_OHE,PHD,CNB,379.3,379.98,379/1,379/17,UP,11.79,11.3,GOOD,GOOD,696.2,NORMAL,43.3,5523,160,CLEAN,0,STABLE,True,False,105,0,349
OHE-0004,TRACTION_DISTRIBUTION_OHE,NDLS,GZB,2.26,3.38,2/6,2/32,DN,8.22,100.0,CONDEMN_RENEW,WORN,551.7,NORMAL,36.0,5577,-113,POLLUTED,23,STABLE,True,True,350,1,7
OHE-0005,TRACTION_DISTRIBUTION_OHE,ALJN,TDL,159.34,160.03,159/9,159/19,UP,10.28,49.1,WORN,WORN,639.9,NORMAL,29.8,5562,-35,POLLUTED,3,SETTLEMENT,True,False,162,0,245
OHE-0006,TRACTION_DISTRIBUTION_OHE,GZB,DER,28.94,30.08,28/10,28/25,UP,12.24,0.0,GOOD,GOOD,556.1,NORMAL,35.7,5512,-23,FLASHOVER_RISK,30,STABLE,True,False,65,0,184
OHE-0007,TRACTION_DISTRIBUTION_OHE,GZB,DER,26.39,26.91,26/2,26/31,DN,9.15,77.4,CRITICAL,WORN,718.3,NORMAL,43.1,5708,-131,CLEAN,27,TILTING,True,True,142,1,12
OHE-0008,TRACTION_DISTRIBUTION_OHE,NDLS,GZB,2.23,2.94,2/4,2/28,DN,9.56,67.2,CRITICAL,GOOD,553.6,NORMAL,32.8,5553,-76,FLASHOVER_RISK,22,STABLE,True,True,143,1,12
OHE-0009,TRACTION_DISTRIBUTION_OHE,DER,KRJ,72.25,72.94,72/11,72/23,UP,10.41,45.9,WORN,GOOD,417.3,NORMAL,21.7,5600,76,CLEAN,1,STABLE,True,False,163,0,283
OHE-0010,TRACTION_DISTRIBUTION_OHE,NDLS,GZB,11.0,11.56,11/1,11/32,UP,8.77,87.0,CONDEMN_RENEW,WORN,696.0,NORMAL,40.8,5561,-29,FLASHOVER_RISK,29,STABLE,True,True,267,1,2
OHE-0011,TRACTION_DISTRIBUTION_OHE,FZD,ETW,237.44,237.95,237/2,237/29,UP,12.24,0.0,GOOD,GOOD,437.3,NORMAL,26.3,5441,36,CLEAN,4,STABLE,True,False,112,0,347
OHE-0012,TRACTION_DISTRIBUTION_OHE,DER,KRJ,61.34,61.99,61/4,61/23,UP,12.24,0.0,GOOD,GOOD,490.0,NORMAL,17.7,5491,-59,CLEAN,3,STABLE,True,False,32,0,360
OHE-0013,TRACTION_DISTRIBUTION_OHE,TDL,FZD,211.28,212.0,211/8,211/20,UP,9.03,80.5,CRITICAL,GOOD,531.6,NORMAL,32.1,5561,-216,CLEAN,35,STABLE,True,True,156,1,22
OHE-0014,TRACTION_DISTRIBUTION_OHE,PHD,CNB,396.92,397.97,396/12,396/29,DN,9.56,67.2,CRITICAL,GOOD,495.0,NORMAL,39.5,5472,-81,CLEAN,9,STABLE,True,True,275,0,209
OHE-0015,TRACTION_DISTRIBUTION_OHE,NDLS,GZB,15.51,16.81,15/15,15/23,UP,9.44,70.2,CRITICAL,GOOD,674.4,NORMAL,44.6,5499,-95,CLEAN,20,STABLE,True,True,106,1,23
OHE-0016,TRACTION_DISTRIBUTION_OHE,ETW,PHD,324.05,324.61,324/8,324/24,DN,9.56,67.2,CRITICAL,GOOD,496.5,NORMAL,19.2,5499,59,CLEAN,27,STABLE,True,True,265,1,20
OHE-0017,TRACTION_DISTRIBUTION_OHE,ETW,PHD,318.96,320.3,318/4,318/30,UP,11.56,17.0,GOOD,GOOD,611.1,NORMAL,26.2,5550,107,CLEAN,0,STABLE,True,False,103,0,349
OHE-0018,TRACTION_DISTRIBUTION_OHE,DER,KRJ,50.63,51.26,50/4,50/20,UP,10.81,35.8,GOOD,GOOD,565.9,NORMAL,35.6,5523,-5,CLEAN,3,STABLE,True,False,101,0,349
OHE-0019,TRACTION_DISTRIBUTION_OHE,FZD,ETW,293.62,294.31,293/14,293/19,DN,8.78,86.7,CONDEMN_RENEW,WORN,395.4,NORMAL,25.9,5550,37,CLEAN,8,STABLE,True,True,273,1,20
OHE-0020,TRACTION_DISTRIBUTION_OHE,DER,KRJ,62.69,63.71,62/7,62/30,UP,8.0,100.0,CONDEMN_RENEW,WORN,516.1,NORMAL,28.8,5585,-30,CLEAN,20,STABLE,True,True,333,1,11
OHE-0021,TRACTION_DISTRIBUTION_OHE,ETW,PHD,346.01,346.8,346/8,346/18,UP,8.2,100.0,CONDEMN_RENEW,WORN,579.2,NORMAL,35.3,5453,41,POLLUTED,13,STABLE,True,True,358,1,15
OHE-0022,TRACTION_DISTRIBUTION_OHE,TDL,FZD,223.75,224.34,223/3,223/16,DN,8.43,95.5,CONDEMN_RENEW,CRITICAL,494.7,NORMAL,25.7,5536,62,FLASHOVER_RISK,27,SETTLEMENT,True,True,331,1,1
