asset_id,department,section_from,section_to,km_start,km_end,line,rail_type,rail_age_years,cumulative_gmt,tgi_unevenness,tgi_twist,tgi_gauge,tgi_alignment,tgi_composite,tgi_category,usfd_status,usfd_defect_count,rail_temperature_c,ambient_temperature_c,destressing_temp_c,thermal_buckling_risk,maintenance_permitted_temp,rainfall_mm_7day,ballast_condition,max_speed_kmph,route_class,machine_required,days_since_last_maintenance,speed_restriction_active,tsr_speed_kmph,ground_truth_failure,ground_truth_rul_days
TRK-0001,ENGINEERING_TRACK,GZB,DER,25.28,26.19,UP,60kg 90UTS,5,148.6,64.0,81.8,83.6,85.7,80.76,GOOD,CLEAR,0,52.7,35.6,40.0,SAFE_RANGE,True,15.6,GOOD,130,A,NONE,221,False,0,0,326
TRK-0002,ENGINEERING_TRACK,NDLS,GZB,0.72,1.55,UP,60kg 90UTS,18,341.6,56.4,61.1,65.5,52.8,55.61999999999999,AVERAGE,CLEAR,0,49.3,34.9,40.0,SAFE_RANGE,True,39.7,GOOD,130,A,TAMPING,306,False,0,0,248
TRK-0003,ENGINEERING_TRACK,ALJN,TDL,193.33,193.84,UP,60kg 90UTS,23,539.4,38.9,57.0,51.3,34.1,39.07000000000001,POOR,OBS,3,39.7,22.0,40.0,SAFE_RANGE,True,60.6,FOULED,160,A,CSM,52,True,75,1,18
TRK-0004,ENGINEERING_TRACK,GZB,DER,28.95,29.97,DN,60kg 90UTS,2,59.2,75.6,85.4,77.3,85.6,82.74999999999999,GOOD,CLEAR,0,49.7,31.9,40.0,SAFE_RANGE,True,68.1,GOOD,130,A,NONE,287,False,0,0,314
TRK-0005,ENGINEERING_TRACK,ALJN,TDL,194.86,196.29,DN,52kg 72UTS,19,358.1,55.1,62.4,64.3,79.5,71.39,AVERAGE,CLEAR,0,35.1,19.8,40.0,SAFE_RANGE,True,139.2,FOULED,160,A,TAMPING,45,False,0,0,357
TRK-0006,ENGINEERING_TRACK,KRJ,ALJN,123.72,124.79,DN,52kg 72UTS,21,665.3,53.2,37.8,56.7,24.4,34.73,POOR,OBS,2,39.3,27.6,40.0,SAFE_RANGE,True,48.1,GOOD,130,A,TAMPING,354,True,30,1,11
TRK-0007,ENGINEERING_TRACK,DER,KRJ,61.04,61.91,DN,60kg 90UTS,13,265.2,74.7,72.9,73.6,64.4,68.22999999999999,AVERAGE,CLEAR,0,57.6,42.1,40.0,MODERATE_HEAT_EXPANSION,True,39.5,GOOD,130,A,TAMPING,171,False,0,0,335
TRK-0008,ENGINEERING_TRACK,NDLS,GZB,5.5,6.05,DN,60kg 90UTS,13,264.6,53.9,62.4,65.5,68.8,64.85,AVERAGE,CLEAR,0,41.0,23.5,40.0,SAFE_RANGE,True,157.7,GOOD,130,A,MANUAL,166,False,0,0,272
TRK-0009,ENGINEERING_TRACK,KRJ,ALJN,113.81,114.9,DN,60kg 90UTS,5,101.5,84.1,90.4,91.2,86.4,86.82000000000001,GOOD,CLEAR,0,38.9,24.4,40.0,SAFE_RANGE,True,47.3,GOOD,130,A,NONE,304,False,0,0,311
TRK-0010,ENGINEERING_TRACK,FZD,ETW,292.44,293.54,UP,60kg 90UTS,5,126.0,61.5,91.0,81.2,73.1,73.38,AVERAGE,CLEAR,0,30.8,20.4,40.0,SAFE_RANGE,True,19.7,GOOD,160,A,MANUAL,326,False,0,0,307
TRK-0011,ENGINEERING_TRACK,DER,KRJ,72.64,73.77,UP,60kg 90UTS,13,294.2,64.7,79.4,75.7,59.0,63.85,AVERAGE,CLEAR,0,58.1,43.9,40.0,MODERATE_HEAT_EXPANSION,True,174.8,SATURATED,130,A,MANUAL,10,True,30,0,247
TRK-0012,ENGINEERING_TRACK,PHD,CNB,418.57,420.22,DN,60kg 90UTS,4,83.5,53.2,90.9,85.8,77.2,74.63000000000001,AVERAGE,CLEAR,0,32.1,22.1,40.0,SAFE_RANGE,True,130.0,SATURATED,130,A,MANUAL,139,True,45,0,288
TRK-0013,ENGINEERING_TRACK,PHD,CNB,431.84,433.65,DN,60kg 90UTS,21,528.2,64.6,49.4,52.7,44.0,49.53,POOR,IMR,2,38.1,22.0,40.0,SAFE_RANGE,True,97.1,FOULED,130,A,TAMPING,276,True,30,1,1
TRK-0014,ENGINEERING_TRACK,TDL,FZD,216.82,217.49,DN,52kg 72UTS,10,197.9,66.5,80.6,79.2,81.8,78.35999999999999,AVERAGE,CLEAR,0,38.8,24.3,40.0,SAFE_RANGE,True,14.2,GOOD,160,A,NONE,253,False,0,0,320
TRK-0015,ENGINEERING_TRACK,GZB,DER,35.76,37.06,UP,52kg 72UTS,5,141.0,68.6,75.8,78.6,61.5,66.06,AVERAGE,CLEAR,0,53.9,42.6,40.0,SAFE_RANGE,True,95.0,GOOD,130,A,MANUAL,315,False,0,0,309
TRK-0016,ENGINEERING_TRACK,FZD,ETW,297.36,299.25,UP,60kg 90UTS,23,488.4,25.9,60.5,58.3,48.9,46.4,POOR,OBS,3,43.5,29.4,40.0,SAFE_RANGE,True,21.8,FOULED,160,A,CSM,120,False,0,1,27
TRK-0017,ENGINEERING_TRACK,GZB,DER,28.72,30.1,UP,60kg 90UTS,19,368.7,51.0,78.7,68.3,43.5,51.0,AVERAGE,OBS,1,46.9,36.4,40.0,SAFE_RANGE,True,12.1,GOOD,130,A,CSM,21,False,0,0,245
TRK-0018,ENGINEERING_TRACK,TDL,FZD,210.13,210.99,DN,60kg 90UTS,7,180.5,73.6,100.0,77.9,76.4,78.35,AVERAGE,CLEAR,0,53.9,36.8,40.0,SAFE_RANGE,True,103.7,FOULED,160,A,NONE,129,False,0,0,342
TRK-0019,ENGINEERING_TRACK,ETW,PHD,345.41,346.2,UP,52kg 72UTS,22,519.7,58.0,43.6,53.5,57.4,55.75,AVERAGE,OBS,4,45.6,28.7,40.0,SAFE_RANGE,True,9.8,GOOD,160,A,TAMPING,339,False,0,0,190
TRK-0020,ENGINEERING_TRACK,GZB,DER,25.67,27.26,UP,60kg 90UTS,8,150.7,66.1,79.2,77.3,84.7,79.69000000000001,AVERAGE,CLEAR,0,43.0,31.9,40.0,SAFE_RANGE,True,33.0,GOOD,130,A,NONE,241,False,0,0,322
TRK-0021,ENGINEERING_TRACK,KRJ,ALJN,124.1,124.71,UP,60kg 90UTS,2,56.1,98.3,93.2,86.8,78.4,84.7,GOOD,CLEAR,0,42.2,32.1,40.0,SAFE_RANGE,True,16.8,GOOD,130,A,NONE,126,False,0,0,342
TRK-0022,ENGINEERING_TRACK,DER,KRJ,55.29,56.51,DN,60kg 90UTS,2,36.6,87.9,76.5,92.8,81.8,83.59,GOOD,CLEAR,0,31.2,18.1,40.0,SAFE_RANGE,True,166.8,FOULED,130,A,NONE,237,False,0,0,323
TRK-0023,ENGINEERING_TRACK,ALJN,TDL,163.57,165.51,DN,60kg 90UTS,5,94.0,86.9,69.7,86.3,92.5,88.47999999999999,GOOD,CLEAR,0,34.2,23.7,40.0,SAFE_RANGE,True,132.4,FOULED,160,A,NONE,36,False,0,0,358
TRK-0024,ENGINEERING_TRACK,TDL,FZD,209.91,211.29,UP,60kg 90UTS,2,68.4,66.0,95.6,96.4,72.5,75.9,AVERAGE,OBS,1,31.6,20.1,40.0,SAFE_RANGE,True,107.1,SATURATED,160,A,NONE,350,True,45,0,198
