train_number,train_name,train_type,priority_class,delay_penalty_weight,direction,station,km_location,arrival_time,departure_time,arrival_min_of_day,departure_min_of_day,is_halt
22436,Vande Bharat Express,VANDE_BHARAT,1,100,DN,NDLS,0.0,06:00,06:00,360.0,360.0,False
22436,Vande Bharat Express,VANDE_BHARAT,1,100,DN,GZB,25.0,06:13,06:15,373.0,375.0,True
22436,Vande Bharat Express,VANDE_BHARAT,1,100,DN,DER,37.0,06:21,06:21,381.3,381.3,False
22436,Vande Bharat Express,VANDE_BHARAT,1,100,DN,KRJ,83.0,06:45,06:45,405.3,405.3,False
22436,Vande Bharat Express,VANDE_BHARAT,1,100,DN,ALJN,131.0,07:10,07:12,430.3,432.3,True
22436,Vande Bharat Express,VANDE_BHARAT,1,100,DN,TDL,209.0,07:53,07:53,473.0,473.0,False
22436,Vande Bharat Express,VANDE_BHARAT,1,100,DN,FZD,226.0,08:02,08:02,481.9,481.9,False
22436,Vande Bharat Express,VANDE_BHARAT,1,100,DN,ETW,301.0,08:41,08:41,521.0,521.0,False
22436,Vande Bharat Express,VANDE_BHARAT,1,100,DN,PHD,357.0,09:10,09:10,550.3,550.3,False
22436,Vande Bharat Express,VANDE_BHARAT,1,100,DN,CNB,440.0,09:54,09:56,593.6,595.6,True
12004,Lucknow Swarna Shatabdi,SHATABDI,1,95,DN,NDLS,0.0,06:10,06:10,370.0,370.0,False
12004,Lucknow Swarna Shatabdi,SHATABDI,1,95,DN,GZB,25.0,06:25,06:27,385.0,387.0,True
12004,Lucknow Swarna Shatabdi,SHATABDI,1,95,DN,DER,37.0,06:34,06:34,394.2,394.2,False
12004,Lucknow Swarna Shatabdi,SHATABDI,1,95,DN,KRJ,83.0,07:02,07:02,421.8,421.8,False
12004,Lucknow Swarna Shatabdi,SHATABDI,1,95,DN,ALJN,131.0,07:31,07:33,450.6,452.6,True
12004,Lucknow Swarna Shatabdi,SHATABDI,1,95,DN,TDL,209.0,08:19,08:21,499.4,501.4,True
12004,Lucknow Swarna Shatabdi,SHATABDI,1,95,DN,FZD,226.0,08:32,08:32,511.6,511.6,False
12004,Lucknow Swarna Shatabdi,SHATABDI,1,95,DN,ETW,301.0,09:17,09:19,556.6,558.6,True
12004,Lucknow Swarna Shatabdi,SHATABDI,1,95,DN,PHD,357.0,09:52,09:52,592.2,592.2,False
12004,Lucknow Swarna Shatabdi,SHATABDI,1,95,DN,CNB,440.0,10:42,10:44,642.0,644.0,True
12566,Bihar Sampark Kranti,SUPERFAST,2,60,DN,NDLS,0.0,13:00,13:00,780.0,780.0,False
12566,Bihar Sampark Kranti,SUPERFAST,2,60,DN,GZB,25.0,13:17,13:19,796.7,798.7,True
12566,Bihar Sampark Kranti,SUPERFAST,2,60,DN,DER,37.0,13:27,13:27,806.7,806.7,False
12566,Bihar Sampark Kranti,SUPERFAST,2,60,DN,KRJ,83.0,13:57,13:57,837.3,837.3,False
12566,Bihar Sampark Kranti,SUPERFAST,2,60,DN,ALJN,131.0,14:29,14:31,869.3,871.3,True
12566,Bihar Sampark Kranti,SUPERFAST,2,60,DN,TDL,209.0,15:23,15:23,923.3,923.3,False
12566,Bihar Sampark Kranti,SUPERFAST,2,60,DN,FZD,226.0,15:35,15:35,934.7,934.7,False
12566,Bihar Sampark Kranti,SUPERFAST,2,60,DN,ETW,301.0,16:25,16:25,984.7,984.7,False
12566,Bihar Sampark Kranti,SUPERFAST,2,60,DN,PHD,357.0,17:02,17:02,1022.0,1022.0,False
12566,Bihar Sampark Kranti,SUPERFAST,2,60,DN,CNB,440.0,17:57,17:59,1077.3,1079.3,True
12424,Dibrugarh Rajdhani,RAJDHANI,1,100,DN,NDLS,0.0,16:20,16:20,980.0,980.0,False
12424,Dibrugarh Rajdhani,RAJDHANI,1,100,DN,GZB,25.0,16:34,16:34,994.3,994.3,False
12424,Dibrugarh Rajdhani,RAJDHANI,1,100,DN,DER,37.0,16:41,16:41,1001.1,1001.1,False
12424,Dibrugarh Rajdhani,RAJDHANI,1,100,DN,KRJ,83.0,17:07,17:07,1027.4,1027.4,False
12424,Dibrugarh Rajdhani,RAJDHANI,1,100,DN,ALJN,131.0,17:35,17:35,1054.9,1054.9,False
12424,Dibrugarh Rajdhani,RAJDHANI,1,100,DN,TDL,209.0,18:19,18:19,1099.4,1099.4,False
12424,Dibrugarh Rajdhani,RAJDHANI,1,100,DN,FZD,226.0,18:29,18:29,1109.1,1109.1,False
12424,Dibrugarh Rajdhani,RAJDHANI,1,100,DN,ETW,301.0,19:12,19:12,1152.0,1152.0,False
12424,Dibrugarh Rajdhani,RAJDHANI,1,100,DN,PHD,357.0,19:44,19:44,1184.0,1184.0,False
12424,Dibrugarh Rajdhani,RAJDHANI,1,100,DN,CNB,440.0,20:31,20:33,1231.4,1233.4,True
12302,Howrah Rajdhani Express,RAJDHANI,1,100,DN,NDLS,0.0,16:50,16:50,1010.0,1010.0,False
12302,Howrah Rajdhani Express,RAJDHANI,1,100,DN,GZB,25.0,17:04,17:04,1024.3,1024.3,False
12302,Howrah Rajdhani Express,RAJDHANI,1,100,DN,DER,37.0,17:11,17:11,1031.1,1031.1,False
12302,Howrah Rajdhani Express,RAJDHANI,1,100,DN,KRJ,83.0,17:37,17:37,1057.4,1057.4,False
12302,Howrah Rajdhani Express,RAJDHANI,1,100,DN,ALJN,131.0,18:05,18:05,1084.9,1084.9,False
